Name;Company
Acura; Honda Motor Company
Alfa Romeo; Stellantis
Audi; Volkswagen Group
BMW; BMW Group
Bentley; Volkswagen Group
Buick; General Motors
Cadillac; General Motors
Chevrolet; General Motors
Chrysler; Stellantis
Dodge; Stellantis
Fiat; Stellantis
Ford; Ford Motor Co.
GMC; General Motors
Genesis; Hyundai Motor Group
Honda; Honda Motor Co.
Hyundai; Hyundai Motor Group
Infiniti; Renault-Nissan-Mitsubishi Alliance
Jaguar; Tata Motors
Jeep; Stellantis
Kia; Hyundai Motor Group
Land Rover; Tata Motors
Lexus; Toyota Motor Corp.
Lincoln; Ford Motor Co.
Lotus; Zhejiang Geely Holding Group 
Maserati; Stellantis
Mazda; Mazda Motor Corp.
Mercedes-Benz; Daimler AG
Mercury; Ford Motor Co.
Mini; BMW Group
Mitsubishi; Renault-Nissan-Mitsubishi Alliance
Nikola; Nikola Motor Company, with a supply relationship with General Motors.
Nissan; Renault-Nissan-Mitsubishi Alliance
Polestar; Zhejiang Geely Holding Group 
Pontiac; General Motors
Porsche; Volkswagen Group
Ram; Stellantis
Rivian; Rivian Automotive, with investments from Amazon and Ford, among others.
Rolls-Royce; BMW Group
Saab; brand owned by Saab AB assets owned by National Electric Vehicle Sweden
Saturn; General Motors
Scion; Toyota Motor Corp.
Smart; Daimler AG
Subaru; Subaru Corp.
Suzuki; Suzuki Motor Corp. Owns a small stake in Toyota.
Tesla; Tesla Inc.
Toyota; Toyota Motor Corp.
Volkswagen; Volkswagen Group
Volvo; Zhejiang Geely Holding Group